plot,sitetype,H,Hs,Hc,Hc^1.9186,0.0003*Hc^1.9186,0.0004*Hc^1.8636,Hc^1.8,0.0005*Hc^1.8,Hb,DBH,BA,Sum.of.Bi.L,Ab,Ac,Wb,Ws,Wba,Wf,Wab,DC,cr,Age,Wf
201,4,4.32,0.43,3.89,13.54806604,0.00406442,0.005029098,11.53212344,0.005766062,1.085056831,0.0675,0.00357847,0.00925107,0.008525885,0.006148316,4.508743335,2.816867264,1.343616312,2.565567818,11.23479473,0.0885,0.900462963,20,1.282783909
201,4,3.32,0.12,3.2,9.314954726,0.002794486,0.003495083,8.114653145,0.004057327,0.8982339,0.057,0.002551759,0.006724669,0.007486545,0.00664424,3.638257723,1.990952066,0.816645858,2.506068021,8.951923668,0.092,0.963855422,20,1.253034011
204,4,7.97,2.95,5.02,22.09887431,0.006629662,0.008088937,18.25016061,0.00912508,1.066369454,0.0835,0.005475992,0.010203412,0.009568365,0.005473216,4.415549523,7.260547137,1.850312361,2.202953881,15.7293629,0.0835,0.629861982,27,1.101476941
206,3,22.32,11.1,11.22,103.3989897,0.031019697,0.036209846,77.62241357,0.038811207,2.126749283,0.2745,0.059179948,0.115988387,0.054537875,0.027304066,43.09705253,219.3897502,25.85069537,13.16273566,301.5002337,0.1865,0.502688172,87,6.58136783
209,3,13.96,6.93,7.03,42.16659053,0.012649977,0.015151162,33.45951065,0.016729755,1.609804776,0.143,0.016060607,0.042691467,0.026519655,0.009585046,16.99524099,35.21343925,8.701518446,5.836706585,66.74690528,0.1105,0.503581662,35,2.918353293
209,3,13.15,8.45,4.7,19.47542529,0.005842628,0.007154537,16.20974356,0.008104872,1.508825677,0.135,0.014313882,0.035382422,0.023450305,0.0063585,14.84885108,34.47147585,7.754752629,2.448159449,59.523239,0.09,0.357414449,36,1.224079725
211,4,10.47,3.34,7.13,43.3249003,0.01299747,0.015555273,34.32109645,0.017160548,1.5929834,0.1295,0.013171324,0.033231824,0.020861375,0.010112566,15.71956227,22.20452489,4.15022391,6.350381607,48.42469268,0.1135,0.680993314,29,3.175190804
212,4,16.83,9.14,7.69,50.08852877,0.015026559,0.01790904,39.32488051,0.01966244,2.223156437,0.254,0.050670748,0.164708136,0.074087515,0.017898785,62.74830284,142.1203661,23.13063541,11.18001848,239.1793228,0.151,0.456922163,83,5.59000924
212,4,15.81,9.04,6.77,39.2254035,0.011767621,0.014123588,31.26508427,0.015632542,1.629380812,0.1575,0.019482783,0.040331444,0.02475262,0.008987465,16.97003637,51.56734201,9.626303109,4.311833466,82.47551496,0.107,0.428209994,51,2.155916733
212,4,8.08,4.44,3.64,11.9269422,0.003578083,0.004443534,10.23251737,0.005116259,0.831299949,0.062,0.003019071,0.003613283,0.004346545,0.001734065,2.130752334,5.767728601,1.476816646,0.712393503,10.08769108,0.047,0.45049505,52,0.356196752
