plotNo,sitetype,H.m,Hs.m,Hc.m,Hc^1.9713,Hc^1.7,0.0002*Hc^1.9713,0.0002*Hc^1.927,0.0004*Hc^1.7,Hb,DBH.m,BA,Sum_Bi_Li,Ab,Ac,Ws,Wb,Wf,Wab,DC.m,rc,Age,Ws,Wb,Wf,Wab
21,2,23.65,2.1,21.55,425.2307008,184.8674142,0.08504614,0.074230587,0.073946966,2.793079882,0.3495,0.095936582,0.209637976,0.15011241,0.08757146,366.0369417,134.3314212,105.0699308,605.4382937,0.334,0.911205074,61,183.0184709,67.1657106,52.5349654,302.7191469
21,2,22.8,2.31,20.49,384.9839841,169.6763563,0.076996797,0.067355234,0.067870543,2.163095256,0.2695,0.057043665,0.073039053,0.06753198,0.052658585,207.20442,57.18726413,59.42299983,323.814684,0.259,0.898684211,62,103.60221,28.59363207,29.71149992,161.907342
21,2,22.26,10.07,12.19,138.3053898,70.17885845,0.027661078,0.024760484,0.028071543,1.532574941,0.2585,0.052482072,0.025232015,0.03292761,0.019845585,176.4420407,32.39334685,28.30707345,237.142461,0.159,0.547619048,63,88.22102035,16.19667343,14.15353673,118.5712305
21,2,19.43,4.23,15.2,213.6821599,102.1254774,0.042736432,0.037882845,0.040850191,2.59528643,0.267,0.05599025,0.082924216,0.06390371,0.046927496,173.703069,90.60936978,53.43197631,317.7444151,0.2445,0.782295419,65,86.8515345,45.30468489,26.71598816,158.8722076
21,2,21.84,8.11,13.73,174.859781,85.90924717,0.034971956,0.03114018,0.034363699,1.820951911,0.2545,0.050870435,0.034146636,0.03750416,0.031872766,183.6875597,35.34783389,34.24504856,253.2804422,0.2015,0.628663004,62,91.84377985,17.67391695,17.12252428,126.6402211
39,3,5.64,0.69,4.95,23.40319917,15.16452594,0.00468064,0.004360479,0.00606581,0.575734687,0.051,0.002042821,0.001118129,0.00194209,0.00264074,2.665027969,0.928036803,1.239902136,4.832966908,0.058,0.877659574,32,1.332513985,0.464018402,0.619951068,2.416483454
39,3,13.93,0.94,12.99,156.7681089,78.1871813,0.031353622,0.027986902,0.031274873,1.795323778,0.1665,0.021773004,0.034224149,0.03812588,0.025011866,45.25686203,22.19560855,21.66716898,89.11963956,0.1785,0.932519742,47,22.62843102,11.09780428,10.83358449,44.55981978
39,3,11.15,0.25,10.9,110.9376228,58.02632238,0.022187525,0.019959555,0.023210529,1.274743798,0.125,0.012271846,0.011915024,0.01869399,0.022820146,23.30725217,7.166629716,8.881439942,39.35532183,0.1705,0.977578475,95,11.65362609,3.583314858,4.440719971,19.67766092
39,3,14.45,0.73,13.72,174.6088129,85.8029045,0.034921763,0.03109649,0.034321162,1.767761262,0.217,0.036983614,0.048930041,0.0553582,0.045593585,77.26542647,34.62716104,41.7550775,153.647665,0.241,0.949480969,42,38.63271324,17.31358052,20.87753875,76.8238325
39,3,9.62,0.99,8.63,70.00967823,39.01380893,0.014001936,0.012726905,0.015605524,1.306451834,0.1125,0.009940196,0.019331894,0.01479725,0.011023166,15.35272871,16.83178466,9.217234061,41.40174743,0.1185,0.897089397,40,7.676364355,8.41589233,4.608617031,20.70087372
39,3,11.03,1.13,9.9,91.76892813,49.26969012,0.018353786,0.016581317,0.019707876,1.262240717,0.1115,0.009764266,0.01690009,0.02677792,0.010381625,19.71231212,15.01473841,10.52533538,45.25238591,0.115,0.897552131,43,9.85615606,7.507369205,5.26266769,22.62619296
21,3,9.25,1.39,7.86,58.22995641,33.28268298,0.011645991,0.010629412,0.013313073,1.182353867,0.095,0.007088218,0.011534093,0.009755195,0.007084625,13.35498022,8.886410592,5.360293252,27.60168406,0.095,0.84972973,42,6.67749011,4.443205296,2.680146626,13.80084203
21,3,12.51,2.43,10.08,95.08713166,50.802245,0.019017426,0.017167159,0.020320898,1.404962515,0.139,0.015174678,0.012608302,0.01794824,0.013885865,33.2203,9.832695226,9.540366053,52.59336128,0.133,0.805755396,49,16.61015,4.916347613,4.770183027,26.29668064
21,3,14.02,0.64,13.38,166.1816001,82.21960629,0.03323632,0.029628586,0.032887843,1.693900918,0.173,0.023506182,0.040366074,0.04766049,0.037649385,55.14096623,31.22129085,28.75260924,115.1148663,0.219,0.954350927,49,27.57048312,15.61064543,14.37630462,57.55743315
21,2,11.65,1.2,10.45,102.0901738,54.01292465,0.020418035,0.018402087,0.02160517,1.281455982,0.124,0.012076282,0.011500946,0.01794981,0.011973016,24.55741725,7.755034445,12.29086675,44.60331845,0.1235,0.896995708,37,12.27870863,3.877517223,6.145433375,22.30165923
21,2,5.91,0.66,5.25,26.28149311,16.75987657,0.005256299,0.004884015,0.006703951,0.64703429,0.054,0.002290221,0.000966067,0.00149307,0.003265796,3.642810149,3.189263743,1.932364496,8.764438388,0.0645,0.888324873,28,1.821405075,1.594631872,0.966182248,4.382219194
21,2,5.91,0.88,5.03,24.15466224,15.58352043,0.004830932,0.004497296,0.006233408,0.822226381,0.067,0.003525652,0.004964138,0.006037435,0.004013116,5.17836621,5.453954203,3.638898532,14.27121895,0.0715,0.851099831,32,2.589183105,2.726977102,1.819449266,7.135609475
3,3,27.05,6.75,20.3,377.9783628,167.0103032,0.075595673,0.066156856,0.066804121,2.518714106,0.3445,0.09321125,0.117401622,0.09322346,0.0660185,387.9971306,75.33518575,76.10174534,539.4340617,0.29,0.750462107,73,193.9985653,37.66759288,38.05087267,269.7170309
3,3,18.99,8.5,10.49,102.8619421,54.364867,0.020572388,0.018538063,0.021745947,1.870981425,0.244,0.046759465,0.031553989,0.03372988,0.025152185,153.5305646,37.74231212,26.97538751,218.2482642,0.179,0.552395998,72,76.7652823,18.87115606,13.48769376,109.1241321
3,3,18.69,5.55,13.14,160.3566753,79.72822967,0.032071335,0.028612991,0.031891292,2.062796414,0.2215,0.038533401,0.044729791,0.04336811,0.03015656,121.6907471,20.17709034,1.310120208,143.1779576,0.196,0.703049759,77,60.84537355,10.08854517,0.655060104,71.5889788
3,3,12.93,6.21,6.72,42.75560419,25.49927098,0.008551121,0.00785906,0.010199708,1.342140052,0.1395,0.015284045,0.008383336,0.01249249,0.009759316,34.24527252,5.4834884,14.40099837,54.12975929,0.1115,0.519721578,71,17.12263626,2.7417442,7.200499185,27.06487965
3,3,24.84,7.65,17.19,272.332414,125.8835525,0.054466483,0.048018281,0.050353421,2.349333805,0.362,0.102921717,0.098064928,0.08348318,0.057864116,342.7877055,67.45887388,48.61314376,458.8597231,0.2715,0.692028986,70,171.3938528,33.72943694,24.30657188,229.4298616
39,2,15.34,6.75,8.59,69.37144228,38.70689893,0.013874288,0.012613477,0.01548276,1.360668143,0.1635,0.02099546,0.014196443,0.02086687,0.013368746,65.75459139,13.45249848,13.02512671,92.23221658,0.1305,0.559973924,55,32.8772957,6.72624924,6.512563355,46.11610829
39,2,13.1,3.66,9.44,83.55304701,45.44147191,0.016710609,0.01512868,0.018176589,1.347908374,0.138,0.014957123,0.010035097,0.01488988,0.010654216,33.01453734,10.1847432,9.774033407,52.97331395,0.1165,0.720610687,49,16.50726867,5.0923716,4.887016704,26.48665698
39,2,20.46,4.65,15.81,230.9161964,109.1903301,0.046183239,0.040866901,0.043676132,1.86872828,0.2265,0.040292693,0.035315395,0.03779618,0.034453846,144.0859283,27.57873891,27.42983718,199.0945044,0.2095,0.772727273,46,72.04296415,13.78936946,13.71491859,99.5472522
21,3,13.75,3.35,10.4,101.1294911,53.57432116,0.020225898,0.018232795,0.021429728,2.150992837,0.183,0.026302199,0.026764879,0.02488607,0.021892865,70.61194085,19.60882357,18.2945996,108.515364,0.167,0.756363636,81,35.30597043,9.804411785,9.1472998,54.257682
21,3,10.74,1.93,8.81,72.91737205,40.40722671,0.014583474,0.013243372,0.016162891,1.245822001,0.1085,0.009245904,0.007378786,0.01184565,0.008654625,17.1194907,7.137647252,8.891942533,33.14908049,0.105,0.820297952,60,8.55974535,3.568823626,4.445971267,16.57454025
21,3,10.03,1.65,8.38,66.06796559,37.11204035,0.013213593,0.012026001,0.014844816,1.183005175,0.1245,0.012173868,0.007110742,0.01202149,0.011116385,21.08165015,6.280487346,9.431649963,36.79378746,0.119,0.835493519,50,10.54082508,3.140243673,4.715824982,18.39689373
3,3,19.47,6.68,12.79,152.0456167,76.15175658,0.030409123,0.027162487,0.030460703,1.807025082,0.2355,0.043558378,0.044534269,0.04929015,0.03203114,145.985014,41.53077397,27.10666329,214.6224513,0.202,0.656908064,52,72.992507,20.76538699,13.55333165,107.3112257
3,3,14.44,5.18,9.26,80.4415144,43.97832429,0.016088303,0.014577712,0.01759133,1.097522075,0.1265,0.012568138,0.006800252,0.01239201,0.009071656,31.02717728,8.397031577,9.779727414,49.20393627,0.1075,0.641274238,52,15.51358864,4.198515789,4.889863707,24.60196814
3,3,18.65,6.51,12.14,137.189318,69.69020908,0.027437864,0.024565149,0.027876084,1.504627291,0.212,0.035298935,0.023315554,0.0309918,0.023494265,106.2757774,23.02403655,23.86063842,153.1604524,0.173,0.650938338,56,53.1378887,11.51201828,11.93031921,76.5802262
3,3,20.32,7,13.32,164.7157691,81.59380424,0.032943154,0.02937309,0.032637522,1.658040452,0.2285,0.041007405,0.031616237,0.03813687,0.025859666,130.316352,31.85056904,34.02168923,196.1886103,0.1815,0.655511811,56,65.158176,15.92528452,17.01084462,98.09430515
