parnam,parmod,parmin,parmax
beta,0.748018,0.5,1
tau,13.23383,7,15
X[0],-3.9657867,-10,15
S[max],18.76696,15,20
kappa,-0.130473,-1,-0.05
gamma,0.034459,0.000103,0.503
rho[P],0.450828,0,0.999
alpha,0.324463,1.00E-06,10
lambda,0.874151,1.00E-04,1
chi,0.075601,0,2.5
rho[ET],0.541605,0.4,0.9999
nu,0.273584,1.00E-04,2.5
theta[cwmax],4.970496,0.5,10
GPP_NT_a,0.2,0.001,5
GPP_NT_b,0.2,0,3
ET_a,0.2,0.001,5
ET_b,0.2,0,3
cR_P,0.224060068,0.15,0.25
rhow_P,195.1657175,190,210
sla_P,20.00788979,20,30
k_P,0.250032395,0.25,0.32
vf_P,3.907395829,2.5,4
vr_P,0.907779899,0.5,1.5
c_P,0.299903561,0.2,0.3
mf_P,0.200662717,0.2,0.5
mr_P,0.230958309,0.2,0.5
mw_P,0.030021719,0.03,0.05
z_P,1.790175458,1.6,1.9
beta0_P,0.286901799,0.25,0.35
betab_P,0.399765728,0.2,0.4
betas_P,0.380067297,0.2,0.5
rhof2_P,180.2348166,180,250
kRein_P,855.0095222,350,1200
s0scale_P,0.975595581,0.4,1
alfar1_P,0.4,0.32,0.48
alfar2_P,0.44,0.352,0.528
alfar3_P,0.47,0.3525,0.564
alfar4_P,0.64,0.448,0.768
alfar5_P,0.84,0.588,1.008
ksi_P,0.07,0.05,0.09
zb_P,1,0.8,1.2
cR_SP,0.1,0.075,0.225
rhow_SP,175,170,220
sla_SP,20.02536,20,35
k_SP,0.2503559,0.25,0.32
vf_SP,9.728822,7,10
vr_SP,1.2,0.6,1.8
c_SP,0.2694873,0.2,0.3
mf_SP,0.4,0.3,0.5
mr_SP,0.4,0.3,0.5
mwSP,0.03005746,0.01,0.05
z_SP,1.700265,1.7,1.95
beta0_SP,0.2,0.25,0.35
betab_SP,0.4,0.2,0.5
betas_SP,0.6,0.2,0.5
rhof2_SP,300,250,350
kRein_SP,1037.631,350,1200
s0scale_SP,0.3,0.1,1
alfar1_SP,0.1,0.08,0.12
alfar2_SP,0.28,0.21,0.336
alfar3_SP,0.38,0.266,0.456
alfar4_SP,0.48,0.312,0.576
alfar5_SP,0.58,0.348,0.696
ksi_SP,0.1,0.05,0.09
zb_SP,1,0.8,1.2
Cr_B,0.152772926,0.15,0.2
rho_w_B,250,200,300
sla_B,40.0669794,35,50
k_B,0.186423356,0.25,0.32
vf_B,1,0.8,1.2
vr_B,0.997537871,0.5,1.5
c_B,0.320921904,0.2,0.3
mf_B,0.304339334,0.2,0.5
mr_B,0.236369651,0.2,0.5
mw_B,0.012762921,0.03,0.05
z_B,1.849367146,1.7,1.95
beta0_B,0.5,0.4,0.6
betab_B,0.4,0.35,0.6
betas_B,0.214842126,0.2,0.5
rhof2_B,115.0655841,100,150
kRein_B,800,350,1100
s0scale_B,0.6,0.4,1
alfar1_B,0.35,0.28,0.42
alfar2_B,0.5,0.4,0.6
alfar3_B,0.64,0.512,0.768
alfar4_B,0.75,0.6,0.9
alfar5_B,0.94,0.752,1.128
ksi_B,0.015,0.005,0.05
zb_B,1,0.8,1.2
a_H,1.27,0.0001,5
b_H,0.0002,0.0001,5
a_D,0.2,0.0001,5
b_D,0.02,0.0001,5
a_B,0.01,0.0001,5
b_B,0.06,0.0001,5
a_Hc,0.07,0.0001,5
b_Hc,0.14,0.0001,5
a_V,0.27,0.0001,5
b_V,0.11,0.0001,5
a_Wf1,0.07,0.0001,5
b_Wf1,0.14,0.0001,5
a_Wf2,0.07,0.0001,5
b_Wf2,0.14,0.0001,5
a_Ac,0.27,0.0001,5
b_Ac,0.11,0.0001,5
a_WfData,0.07,0.0001,5
b_WfData,0.14,0.0001,5
