parnam,parmod,parmin,parmax
cR_P,0.224060068,0.15,0.25
rhow_P,195.1657175,190,210
sla_P,20.00788979,20,30
k_P,0.250032395,0.25,0.32
vf_P,3.907395829,2.5,4
vr_P,0.907779899,0.5,1.5
c_P,0.299903561,0.2,0.3
mf_P,0.200662717,0.2,0.5
mr_P,0.230958309,0.2,0.5
mw_P,0.030021719,0.03,0.05
z_P,1.790175458,1.6,1.9
beta0_P,0.286901799,0.25,0.35
betab_P,0.399765728,0.2,0.4
betas_P,0.380067297,0.2,0.5
rhof2_P,180.2348166,180,250
s1_P,0.010521945,0.01,0.06
kRein_P,855.0095222,350,1200
s0scale_P,0.975595581,0.4,1
thetaMax_P,0.02,0,0.03
H0max_P,33,30,35
gamma_P,0.03,0.02,0.04
kH_P,0.000669,0.0004,0.0008
ksi_P,0.07,0.05,0.09
zb_P,1,0.8,1.2
cR_SP,0.158561132,0.075,0.225
rhow_SP,183.3353201,180,220
sla_SP,20.02536012,20,35
k_SP,0.250355865,0.25,0.32
vf_SP,9.728821527,7,10
vr_SP,1.764810265,0.6,1.8
c_SP,0.269487274,0.2,0.3
mf_SP,0.20165621,0.2,0.5
mr_SP,0.205099295,0.2,0.5
mwSP,0.030057465,0.03,0.05
z_SP,1.700264527,1.7,1.95
beta0_SP,0.25678746,0.25,0.35
betab_SP,0.499687205,0.2,0.5
betas_SP,0.466097154,0.2,0.5
rhof2_SP,200.0728429,200,300
s1_SP,0.005568057,0.005,0.015
kRein_SP,1037.630896,350,1200
s0scale_SP,0.400129996,0.4,1
thetaMax_SP,0.02,0,0.03
H0max_SP,37,33,40
gamma_SP,0.03,0.02,0.04
kH_SP,0.000327,2.00E-04,8.00E-04
ksi_SP,0.08,0.05,0.09
zb_SP,1,0.8,1.2
Cr_B,0.152772926,0.15,0.2
rho_w_B,250,200,300
sla_B,40.0669794,35,50
k_B,0.186423356,0.25,0.32
vf_B,1,0.8,1.2
vr_B,0.997537871,0.5,1.5
c_B,0.320921904,0.2,0.3
mf_B,0.304339334,0.2,0.5
mr_B,0.236369651,0.2,0.5
mw_B,0.012762921,0.03,0.05
z_B,1.849367146,1.7,1.95
beta0_B,0.5,0.4,0.6
betab_B,0.4,0.35,0.6
betas_B,0.214842126,0.2,0.5
rhof2_B,115.0655841,100,150
s1_B,0.020052053,0.015,0.06
kRein_B,800,350,1100
s0scale_B,0.6,0.4,1
thetaMax_B,0.02,0,0.03
H0max_B,37,33,40
gamma_B,0.03,0.02,0.04
kH_B,0.000644,3.00E-04,9.00E-04
ksi_B,0.015,0.005,0.05
zb_B,1,0.8,1.2
a_H,1.27,0.0001,5
b_H,0.0002,0.0001,5
a_D,0.2,0.0001,5
b_D,0.02,0.0001,5
a_B,0.01,0.0001,5
b_B,0.06,0.0001,5
a_Hc,0.07,0.0001,5
b_Hc,0.14,0.0001,5
a_V,0.27,0.0001,5
b_V,0.11,0.0001,5
